,index,count
0,12 28 18,4
1,01 12 21,3
2,31 28 18,3
3,28 18 30,3
4,09 21 07,3
5,19 17 23,2
6,23 09 21,2
7,31 18 16,2
8,12 12 28,2
9,18 16 31,2
10,28 26 24,2
11,25 24 26,2
12,26 20 08,2
13,21 18 25,2
14,00 20 01,2
15,05 08 14,2
16,08 06 17,2
17,27 10 01,2
18,08 08 06,2
19,14 12 17,2
20,21 07 12,2
21,31 12 28,2
22,31 28 26,2
23,26 05 08,2
24,12 28 05,2
25,12 01 07,2
26,10 01 12,2
27,14 30 12,2
28,08 14 12,2
29,05 25 04,2
30,12 21 19,2
31,25 12 21,2
32,24 21 30,2
33,31 13 10,1
34,30 10 29,1
35,01 21 07,1
36,30 10 01,1
37,26 13 29,1
38,21 15 30,1
39,12 17 27,1
40,25 12 28,1
41,06 17 23,1
42,06 17 20,1
43,12 21 25,1
44,12 17 21,1
45,12 21 29,1
46,30 10 26,1
47,04 26 25,1
48,08 21 31,1
49,31 12 26,1
50,08 27 08,1
51,18 20 14,1
52,30 10 18,1
53,29 12 08,1
54,31 13 20,1
55,04 26 20,1
56,18 20 08,1
57,30 10 05,1
58,12 17 00,1
59,21 12 28,1
60,17 19 08,1
61,12 18 05,1
62,24 17 25,1
63,08 26 05,1
64,18 23 15,1
65,17 19 31,1
66,27 07 04,1
67,17 20 04,1
68,19 14 31,1
69,12 21 08,1
70,29 10 11,1
71,30 12 17,1
72,27 08 27,1
73,26 14 30,1
74,20 21 25,1
75,08 24 21,1
76,04 26 04,1
77,07 14 20,1
78,12 21 18,1
79,23 12 28,1
80,14 18 04,1
81,09 21 08,1
82,01 20 10,1
83,12 18 31,1
84,17 21 04,1
85,08 27 05,1
86,24 20 14,1
87,30 12 01,1
88,12 18 16,1
89,24 20 17,1
90,24 20 18,1
91,08 24 17,1
92,25 31 18,1
93,26 12 29,1
94,20 14 21,1
95,30 05 23,1
96,18 15 30,1
97,17 27 07,1
98,20 14 30,1
99,05 24 09,1
100,15 21 25,1
101,31 18 23,1
102,08 17 07,1
103,13 20 18,1
104,15 21 16,1
105,18 16 12,1
106,05 23 26,1
107,24 10 27,1
108,05 23 18,1
109,12 12 26,1
110,07 24 10,1
111,21 20 18,1
112,05 23 09,1
113,24 09 21,1
114,31 21 24,1
115,28 05 04,1
116,31 21 08,1
117,28 05 07,1
118,28 05 12,1
119,24 08 05,1
120,26 08 08,1
121,14 08 12,1
122,05 25 08,1
123,10 14 08,1
124,24 09 05,1
125,23 18 19,1
126,05 24 31,1
127,10 14 21,1
128,31 19 17,1
129,21 19 21,1
130,21 19 14,1
131,08 21 25,1
132,20 18 04,1
133,28 10 26,1
134,05 21 07,1
135,18 19 05,1
136,17 23 24,1
137,18 19 10,1
138,18 19 17,1
139,25 17 12,1
140,17 23 12,1
141,28 11 18,1
142,06 21 12,1
143,17 23 09,1
144,26 12 24,1
145,21 16 31,1
146,10 18 17,1
147,08 21 24,1
148,20 18 05,1
149,20 18 01,1
150,17 25 31,1
151,15 18 15,1
152,04 18 19,1
153,04 18 20,1
154,18 17 19,1
155,23 15 26,1
156,01 24 31,1
157,23 15 21,1
158,07 21 25,1
159,19 21 24,1
160,24 12 18,1
161,25 19 01,1
162,11 18 20,1
163,29 14 18,1
164,20 17 08,1
165,23 14 30,1
166,11 18 08,1
167,04 21 07,1
168,28 18 08,1
169,00 24 21,1
170,10 29 14,1
171,01 10 14,1
172,07 04 18,1
173,26 23 15,1
174,07 04 10,1
175,24 29 25,1
176,05 09 21,1
177,26 30 10,1
178,13 05 08,1
179,10 27 24,1
180,19 05 24,1
181,28 26 20,1
182,06 28 29,1
183,30 29 20,1
184,24 30 20,1
185,12 31 05,1
186,28 26 30,1
187,18 30 17,1
188,21 07 00,1
189,30 21 20,1
190,26 31 12,1
191,30 20 21,1
192,12 28 21,1
193,21 07 24,1
194,12 28 26,1
195,24 28 10,1
196,17 12 18,1
197,26 31 28,1
198,12 29 04,1
199,30 31 21,1
200,18 30 01,1
201,21 07 11,1
202,21 07 08,1
203,26 31 18,1
204,18 30 10,1
205,05 10 10,1
206,18 31 28,1
207,25 04 21,1
208,26 24 20,1
209,25 00 20,1
210,05 04 31,1
211,01 04 26,1
212,30 27 10,1
213,05 07 14,1
214,30 27 03,1
215,05 07 01,1
216,07 00 24,1
217,19 01 24,1
218,01 07 04,1
219,14 30 05,1
220,01 07 01,1
221,30 26 17,1
222,17 08 08,1
223,03 03 10,1
224,28 29 28,1
225,07 01 10,1
226,26 25 24,1
227,05 08 21,1
228,21 04 26,1
229,25 04 13,1
230,09 05 23,1
231,26 24 23,1
232,24 31 12,1
233,30 28 26,1
234,24 31 13,1
235,30 28 21,1
236,12 31 28,1
237,14 31 28,1
238,01 08 17,1
239,07 01 30,1
240,25 00 05,1
241,26 25 12,1
242,01 07 31,1
243,26 25 17,1
244,06 26 25,1
245,21 07 31,1
246,04 26 31,1
247,08 30 21,1
248,27 04 18,1
249,08 29 26,1
250,13 10 26,1
251,01 15 21,1
252,24 23 14,1
253,14 20 26,1
254,12 24 28,1
255,14 21 07,1
256,21 08 07,1
257,00 27 26,1
258,08 31 01,1
259,14 21 15,1
260,30 17 30,1
261,27 03 03,1
262,28 21 08,1
263,29 05 07,1
264,20 26 01,1
265,18 25 24,1
266,27 04 26,1
267,31 05 24,1
268,07 12 28,1
269,24 21 18,1
270,26 17 19,1
271,07 12 18,1
272,28 18 05,1
273,16 12 12,1
274,31 06 26,1
275,28 18 13,1
276,05 15 18,1
277,26 17 30,1
278,28 18 19,1
279,07 11 29,1
280,27 05 10,1
281,29 07 08,1
282,18 25 12,1
283,26 20 06,1
284,08 31 21,1
285,07 08 31,1
286,05 12 12,1
287,16 31 27,1
288,21 08 31,1
289,16 31 30,1
290,01 12 31,1
291,01 12 27,1
292,21 08 26,1
293,12 27 10,1
294,21 08 24,1
295,04 31 28,1
296,10 26 31,1
297,31 01 12,1
298,19 08 24,1
