,index,count
0,12 28,8
1,31 28,7
2,21 07,7
3,28 18,7
4,12 21,6
5,01 12,6
6,21 25,5
7,30 10,5
8,10 26,5
9,21 24,4
10,21 08,4
11,28 26,4
12,10 01,4
13,09 21,4
14,04 26,4
15,31 21,4
16,01 07,3
17,08 21,3
18,18 05,3
19,08 31,3
20,20 08,3
21,24 21,3
22,14 30,3
23,24 20,3
24,31 18,3
25,20 18,3
26,26 31,3
27,12 17,3
28,12 18,3
29,26 20,3
30,17 23,3
31,26 25,3
32,25 12,3
33,28 05,3
34,12 12,3
35,25 24,3
36,31 12,3
37,16 31,3
38,18 16,3
39,18 19,3
40,05 25,3
41,26 05,3
42,05 23,3
43,18 30,3
44,05 08,3
45,06 17,2
46,26 17,2
47,07 08,2
48,26 12,2
49,12 31,2
50,21 30,2
51,27 10,2
52,10 27,2
53,23 15,2
54,21 31,2
55,23 09,2
56,11 18,2
57,12 01,2
58,10 14,2
59,05 24,2
60,12 26,2
61,23 26,2
62,05 07,2
63,28 21,2
64,27 04,2
65,08 08,2
66,08 12,2
67,04 30,2
68,08 14,2
69,26 08,2
70,07 31,2
71,08 24,2
72,08 27,2
73,25 04,2
74,04 18,2
75,05 12,2
76,07 04,2
77,25 00,2
78,24 31,2
79,24 26,2
80,26 01,2
81,07 12,2
82,08 06,2
83,07 01,2
84,24 09,2
85,26 24,2
86,15 21,2
87,14 21,2
88,00 20,2
89,14 12,2
90,31 13,2
91,30 12,2
92,01 31,2
93,01 30,2
94,18 20,2
95,18 04,2
96,20 14,2
97,18 25,2
98,20 01,2
99,15 30,2
100,19 17,2
101,30 27,2
102,18 08,2
103,30 28,2
104,17 30,2
105,21 19,2
106,21 18,2
107,17 19,2
108,30 01,2
109,31 27,2
110,07 00,1
111,16 12,1
112,07 29,1
113,18 31,1
114,19 01,1
115,08 01,1
116,25 19,1
117,25 17,1
118,08 05,1
119,19 08,1
120,08 07,1
121,19 05,1
122,06 21,1
123,19 10,1
124,19 14,1
125,17 25,1
126,08 17,1
127,25 08,1
128,18 23,1
129,17 21,1
130,17 12,1
131,07 24,1
132,18 01,1
133,26 06,1
134,17 08,1
135,17 07,1
136,18 13,1
137,06 28,1
138,18 15,1
139,26 13,1
140,26 04,1
141,07 11,1
142,17 00,1
143,15 26,1
144,18 17,1
145,06 26,1
146,25 31,1
147,07 21,1
148,17 20,1
149,25 26,1
150,26 14,1
151,07 14,1
152,13 10,1
153,08 26,1
154,23 24,1
155,20 21,1
156,10 29,1
157,23 14,1
158,23 12,1
159,20 26,1
160,14 08,1
161,11 29,1
162,21 04,1
163,12 05,1
164,12 08,1
165,26 23,1
166,13 29,1
167,13 27,1
168,12 24,1
169,13 20,1
170,21 12,1
171,12 27,1
172,21 15,1
173,12 29,1
174,21 16,1
175,21 29,1
176,21 26,1
177,13 05,1
178,23 18,1
179,10 18,1
180,19 21,1
181,14 18,1
182,08 29,1
183,21 20,1
184,15 18,1
185,19 31,1
186,20 04,1
187,09 05,1
188,24 30,1
189,24 29,1
190,24 28,1
191,20 06,1
192,24 23,1
193,14 31,1
194,20 10,1
195,24 17,1
196,20 12,1
197,24 12,1
198,24 10,1
